doy,int_pp
86,1265.68
87,1844.425
89,695.9
91,768.7225
93,1284.97
95,756.3
139,776.655125
141,1036.813625
143,1583.821875
145,1448.147625
146,1115.703
147,1923.743
148,1945.345
246,259.2499375
248,430.59175
253,310.9531875
254,647.1046875
256,467.7615
257,433.9910625
258,753.95425
259,726.629625
320,65.262875
322,112.4815
324,112.4815
325,313.383
327,426.6375
328,211.00275
329,459.96975
