date,int_pp,doy
20180816,179.6072926,228
20180820,158.4727756,232
20180822,140.0366,234
20180824,132.5904,236
20180826,172.944,238
20180828,199.6780593,240
20180830,167.1792,242
20180901,139.9165,244
20180903,172.3435,246
20180907,194.9223,250
